"","X","ID","Age","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","total_children","total_amount","total_num_purchase","age_class","income_class"
"1",0,1826,51,"Graduation","Divorced",84835,0,0,"6/16/14",0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,"SP",0,1190,14,"Gen-X","Middle"
"2",1,1,60,"Graduation","Single",57091,0,0,"6/15/14",0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,"CA",0,577,17,"Boomers","Middle"
"3",2,10476,63,"Graduation","Married",67267,0,1,"5/13/14",0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,"US",1,251,10,"Boomers","Middle"
"4",3,1386,54,"Graduation","Together",32474,1,1,"5/11/14",0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,"AUS",2,11,3,"Gen-X","Lower-Middle"
"5",4,5371,32,"Graduation","Single",21474,1,0,"4/8/14",0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,"SP",1,91,6,"Millennials","Poor"
"6",5,7348,63,"PhD","Single",71691,0,0,"3/17/14",0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,"SP",0,1192,16,"Boomers","Middle"
"7",6,4073,67,"2n Cycle","Married",63564,0,0,"1/29/14",0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,"GER",0,1215,27,"Boomers","Middle"
"8",7,1991,54,"Graduation","Together",44931,0,1,"1/18/14",0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,"SP",1,96,6,"Gen-X","Lower-Middle"
"9",8,4047,67,"PhD","Married",65324,0,1,"1/11/14",0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,"US",1,544,17,"Boomers","Middle"
"10",9,9477,67,"PhD","Married",65324,0,1,"1/11/14",0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,"IND",1,544,17,"Boomers","Middle"
"11",10,2079,74,"2n Cycle","Married",81044,0,0,"12/27/13",0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,"US",0,1208,21,"Boomers","Middle"
"12",11,5642,42,"Master","Together",62499,1,0,"12/9/13",0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,"SP",1,222,10,"Millennials","Middle"
"13",12,10530,62,"PhD","Widow",67786,0,0,"12/7/13",0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,"IND",0,1156,15,"Boomers","Middle"
"14",13,2964,40,"Graduation","Married",26872,0,0,"10/16/13",0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,"CA",0,72,4,"Millennials","Poor"
"15",14,10311,52,"Graduation","Married",4428,0,1,"10/5/13",0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,"SP",1,359,25,"Gen-X","Poor"
"16",15,837,44,"Graduation","Married",54809,1,1,"9/11/13",0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,"SP",2,174,8,"Gen-X","Middle"
"17",16,10521,44,"Graduation","Married",54809,1,1,"9/11/13",0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,"SP",2,174,8,"Gen-X","Middle"
"18",17,10175,63,"PhD","Divorced",32173,0,1,"8/1/13",0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,"SP",1,22,4,"Boomers","Lower-Middle"
"19",18,1473,61,"2n Cycle","Single",47823,0,1,"7/23/13",0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,"CA",1,72,5,"Boomers","Lower-Middle"
"20",19,2795,63,"Master","Single",30523,2,1,"7/1/13",0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,"CA",3,13,3,"Boomers","Lower-Middle"
"21",20,2285,67,"Master","Together",36634,0,1,"5/28/13",0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,"SA",1,335,12,"Boomers","Lower-Middle"
"22",21,115,55,"Master","Single",43456,0,1,"3/26/13",0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,"IND",1,393,14,"Gen-X","Lower-Middle"
"23",22,10470,42,"Master","Married",40662,1,0,"3/15/13",0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,"GER",1,92,6,"Millennials","Lower-Middle"
"24",23,4065,45,"PhD","Married",49544,1,0,"2/12/13",0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,"SP",1,404,14,"Gen-X","Lower-Middle"
"25",24,10968,52,"Graduation","Single",57731,0,1,"11/23/12",0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,"IND",1,704,22,"Gen-X","Middle"
"26",25,5985,56,"Master","Single",33168,0,1,"10/13/12",0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,"SP",1,122,7,"Gen-X","Lower-Middle"
"27",26,5430,65,"Graduation","Together",54450,1,1,"9/14/12",0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,"SP",2,684,19,"Boomers","Middle"
"28",27,8432,65,"Graduation","Together",54450,1,1,"9/14/12",0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,"SP",2,684,19,"Boomers","Middle"
